query_id,corpus_id
q00001,MSFT20230216
q00001,MSFT20230236
q00001,MSFT20230254
q00001,MSFT20230331
q00001,MSFT20230016
q00001,MSFT20231766
q00001,MSFT20230170
q00001,MSFT20231728
q00001,MSFT20230046
q00001,MSFT20230155
q00002,MSFT20231716
q00002,MSFT20230128
q00002,MSFT20230170
q00002,MSFT20231728
q00002,MSFT20230148
q00002,MSFT20231720
q00002,MSFT20231708
q00002,MSFT20230501
q00002,MSFT20231710
q00002,MSFT20231768
q00003,MSFT20230264
q00003,MSFT20231953
q00003,MSFT20230025
q00003,MSFT20230233
q00003,MSFT20230236
q00003,MSFT20230058
q00003,MSFT20230011
q00003,MSFT20230248
q00003,MSFT20230069
q00003,MSFT20230155
q00004,MSFT20230469
q00004,MSFT20230010
q00004,MSFT20230319
q00004,MSFT20230486
q00004,MSFT20230025
q00004,MSFT20230095
q00004,MSFT20230317
q00004,MSFT20230062
q00004,MSFT20230058
q00004,MSFT20230236
q00005,MSFT20230062
q00005,MSFT20230083
q00005,MSFT20230254
q00005,MSFT20230223
q00005,MSFT20230068
q00005,MSFT20230069
q00005,MSFT20230063
q00005,MSFT20230508
q00005,MSFT20231008
q00005,MSFT20230512
q00006,MSFT20231953
q00006,MSFT20230467
q00006,MSFT20230722
q00006,MSFT20230335
q00006,MSFT20231335
q00006,MSFT20230486
q00006,MSFT20231300
q00006,AMZN20230983
q00006,PG20230103
q00006,ORCL20230385
q00007,MSFT20230482
q00007,LIN20230839
q00007,ORCL20231109
q00007,MSFT20231767
q00007,ORCL20231119
q00007,MSFT20230574
q00007,MSFT20231007
q00007,MSFT20231792
q00007,MSFT20230729
q00007,MSFT20230968
q00008,MSFT20231529
q00008,ADBE20231120
q00008,MSFT20230508
q00008,V20231038
q00008,ORCL20231142
q00008,ADBE20231119
q00008,NVDA20231343
q00008,NVDA20231339
q00008,TSLA20230850
q00008,UNH20230812
q00009,ADBE20231907
q00009,ADBE20231704
q00009,ADBE20230963
q00009,JNJ20230028
q00009,ADBE20230243
q00009,ADBE20231321
q00009,ADBE20230986
q00009,ADBE20231609
q00009,ADBE20231011
q00009,ADBE20231131
q00010,ADBE20230726
q00010,ADBE20230728
