query_id,corpus_id
q82d4c6ec,d81a04fe4
q82d4c6ec,d8823b39c
q82d4c6ec,d887d2c38
q82d4c6ec,d81a04f9e
q82d4c6ec,d8e16ff66
q82d4c6ec,d88cdb45a
q82d4c6ec,d8d3fbbaa
q82d4c6ec,d8c9cf7da
q82d4c6ec,d887d2d00
q82d4c6ec,d822f8178
q855a35a0,d8d72ed18
q855a35a0,d899b62b0
q855a35a0,d8d783728
q855a35a0,d817bbf1c
q855a35a0,d8e99e52a
q855a35a0,d8943f48a
q855a35a0,d8a411ec6
q855a35a0,d8d000c76
q855a35a0,d82def6b2
q855a35a0,d818bcc4a
q85384530,d8c7913ce
q85384530,d88e580da
q85384530,d87920366
q85384530,d8d289efc
q85384530,d896448e8
q85384530,d8d9d07ec
q85384530,d8bea8ef6
q85384530,d8b552442
q85384530,d8ce65a6a
q85384530,d8d372670
q842c8af2,d842c8cfa
q842c8af2,d8d9ffbaa
q842c8af2,d8dc8cc10
q842c8af2,d89c4f80a
q842c8af2,d8e3eb77c
q842c8af2,d8eeb9dd4
q842c8af2,d8f1b621c
q842c8af2,d893b46e6
q842c8af2,d88212b5e
q842c8af2,d88f7b976
q85451756,d8de399d2
q85451756,d89cb9b42
q85451756,d828a5a26
q85451756,d8196f46c
q85451756,d8646ec42
q85451756,d837f6070
q85451756,d8646ec7e
q85451756,d8d7205ce
q85451756,d81180850
q85451756,d876af672
q85737826,d8753470c
q85737826,d8ee058c0
q85737826,d8ef908ca
q85737826,d8d4f7194
q85737826,d8a2da2c4
q85737826,d815e5c7e
q85737826,d8a971d9e
q85737826,d87b7026a
q85737826,d86c4ff10
q85737826,d8a149b26
q827742c4,d827745bc
q827742c4,d82d8f140
q827742c4,d8a133498
q827742c4,d8bef68b8
q827742c4,d88863d0a
q827742c4,d88995a34
q827742c4,d86bdf8d2
q827742c4,d892f274e
q827742c4,d8f73def6
q827742c4,d8a9b4ffe
q81e448f2,d8261505e
q81e448f2,d8159e28e
q81e448f2,d89926304
q81e448f2,d8b7e8062
q81e448f2,d8f5af530
q81e448f2,d8159e2fc
q81e448f2,d8e3a8ec2
q81e448f2,d8994804e
q81e448f2,d8afbdd10
q81e448f2,d8b6a5556
q82305cc4,d815f4936
q82305cc4,d8af691c0
q82305cc4,d86b7c0fc
q82305cc4,d882b615a
q82305cc4,d87adb1ba
q82305cc4,d8a27a662
q82305cc4,d87f8a3e6
q82305cc4,d8ef26d76
q82305cc4,d8db0b1d4
q82305cc4,d8a27a798
q81a100a6,d81a10218
q81a100a6,d8165917e
q81a100a6,d81a10394
q81a100a6,d8b0af1e2
q81a100a6,d8f36b990
q81a100a6,d8f31013a
q81a100a6,d86a58ad6
q81a100a6,d87b0fce4
q81a100a6,d8ed98bf8
q81a100a6,d8807dadc
q847a1ac4,d8b0a1dda
q847a1ac4,d8d9d0a08
q847a1ac4,d8cf64060
q847a1ac4,d810b78b0
q847a1ac4,d82c60742
q847a1ac4,d8992635e
q847a1ac4,d83392a88
q847a1ac4,d8b963220
q847a1ac4,d8a6b0042
q847a1ac4,d87180dfe
q82bb179c,d82afa5ce
q82bb179c,d87ec1c16
q82bb179c,d8af9db64
q82bb179c,d8d9ffc22
q82bb179c,d8771f012
q82bb179c,d8acf02fe
q82bb179c,d882920f2
q82bb179c,d862f080c
q82bb179c,d89018320
q82bb179c,d8aa3aee2
q82787914,d814f5ab2
q82787914,d87a7e294
q82787914,d81e4fc98
q82787914,d8f7e6ba0
q82787914,d8dc2381e
q82787914,d8143a096
q82787914,d8ea6a08a
q82787914,d892f2690
q82787914,d89c92baa
q82787914,d8bec3d14
q847c4394,d88aec84c
q847c4394,d83b9f406
q847c4394,d870a787e
q847c4394,d86875c6e
q847c4394,d8abea972
q847c4394,d87c1d62c
q847c4394,d86e5817c
q847c4394,d8ab3aa90
q847c4394,d8b378806
q847c4394,d8b901d68
q85306054,d867cd352
q85306054,d8aefb4b8
q85306054,d8be6bd58
q85306054,d8b308e20
q85306054,d86875c6e
q85306054,d8e50d826
q85306054,d88d9abe8
q85306054,d89f4dcdc
q85306054,d86389f84
q85306054,d8bb3cbb4
