query_id,corpus_id
q82d4c6ec,d8e86753a
q82d4c6ec,d81a04fe4
q82d4c6ec,d8d3fbbaa
q82d4c6ec,d81a04f9e
q82d4c6ec,d8823b39c
q82d4c6ec,d8e436060
q82d4c6ec,d88be204e
q82d4c6ec,d822f8178
q82d4c6ec,d8e727fc6
q82d4c6ec,d85eb42c0
q855a35a0,d886a1080
q855a35a0,d88a932c4
q855a35a0,d86a04616
q855a35a0,d8a8783d4
q855a35a0,d8bb92280
q855a35a0,d8b781e02
q855a35a0,d868d969c
q855a35a0,d8a00cd80
q855a35a0,d8f3eb546
q855a35a0,d88d47cc2
q85384530,d8c7913ce
q85384530,d88e580da
q85384530,d87920366
q85384530,d8bea8ef6
q85384530,d86d241ac
q85384530,d89110c64
q85384530,d8a86226e
q85384530,d865beeee
q85384530,d888f5854
q85384530,d8978900a
q842c8af2,d8e727fc6
q842c8af2,d8e3eb77c
q842c8af2,d8a0461fc
q842c8af2,d87acf00e
q842c8af2,d86023a66
q842c8af2,d8f29f732
q842c8af2,d8cf2bcd8
q842c8af2,d86dbb3cc
q842c8af2,d81252148
q842c8af2,d87be6f78
q85451756,d8196f46c
q85451756,d8cfea0c0
q85451756,d81be6718
q85451756,d81180850
q85451756,d8de399d2
q85451756,d8d7205ce
q85451756,d8646ec7e
q85451756,d87981b7a
q85451756,d87bc81d6
q85451756,d875c5126
q85737826,d8d4f7194
q85737826,d8ee058c0
q85737826,d8a2da2c4
q85737826,d8ef908ca
q85737826,d8f01654c
q85737826,d8753470c
q85737826,d864959e6
q85737826,d8c70859c
q85737826,d8b190c96
q85737826,d8733fe06
q827742c4,d827745bc
q827742c4,d86bdf8d2
q827742c4,d8866b71e
q827742c4,d82d8f140
q827742c4,d87fed8b0
q827742c4,d8f73def6
q827742c4,d88863d0a
q827742c4,d85fa1fac
q827742c4,d89d37434
q827742c4,d88995a34
q81e448f2,d8261505e
q81e448f2,d8159e28e
q81e448f2,d8b7e8062
q81e448f2,d88f877f8
q81e448f2,d884b7a3a
q81e448f2,d8b1ea1c4
q81e448f2,d8159e2fc
q81e448f2,d8ad741f8
q81e448f2,d8e3a8ec2
q81e448f2,d8994804e
q82305cc4,d815f4936
q82305cc4,d8af691c0
q82305cc4,d86b7c0fc
q82305cc4,d8a27a798
q82305cc4,d8a27a662
q82305cc4,d86617468
q82305cc4,d8402e5a8
q82305cc4,d86e7a89e
q82305cc4,d87adb1ba
q82305cc4,d882b615a
q81a100a6,d81a10218
q81a100a6,d8165917e
q81a100a6,d8f36b990
q81a100a6,d8f31013a
q81a100a6,d86a58ad6
q81a100a6,d8247dfb6
q81a100a6,d8807dadc
q81a100a6,d89b2417e
q81a100a6,d899ac53a
q81a100a6,d8159e39c
q847a1ac4,d8b0a1dda
q847a1ac4,d810b78b0
q847a1ac4,d8992635e
q847a1ac4,d8b963220
q847a1ac4,d810b7770
q847a1ac4,d875a11ae
q847a1ac4,d89794072
q847a1ac4,d8f46fab2
q847a1ac4,d8d6d8e86
q847a1ac4,d891980e2
q82bb179c,d87ec1c16
q82bb179c,d82afa5ce
q82bb179c,d8da2d456
q82bb179c,d8d9ffc22
q82bb179c,d8ed02f90
q82bb179c,d8a54c6e2
q82bb179c,d86c8b3e4
q82bb179c,d87bc81d6
q82bb179c,d8a97f7fa
q82bb179c,d8871db08
q82787914,d8e6b82d4
q82787914,d8be614b6
q82787914,d8e2645b6
q82787914,d8dc2381e
q82787914,d89a8e638
q82787914,d865d58b0
q82787914,d827068f0
q82787914,d8630ab80
q82787914,d86bdf8d2
q82787914,d8a0bcdb6
q847c4394,d83b9f406
q847c4394,d88aec84c
q847c4394,d8e675bc8
q847c4394,d87bc81d6
q847c4394,d8d1463e2
q847c4394,d89ff7b38
q847c4394,d8ed02f90
q847c4394,d8b3886c0
q847c4394,d8871db08
q847c4394,d8cc6f8be
q85306054,d867cd352
q85306054,d8aefb4b8
q85306054,d8be6bd58
q85306054,d8b6dd924
q85306054,d86875c6e
q85306054,d8b308e20
q85306054,d89f4dcdc
q85306054,d8e50d826
q85306054,d86389f84
q85306054,d82a3a51c
q81b147b8,d89a56f26
q81b147b8,d8dfc2998
q81b147b8,d8bad3ce0
q81b147b8,d8cbb1f44
q81b147b8,d87a379c0
q81b147b8,d8bf90c88
q81b147b8,d880d3bee
q81b147b8,d8bc1753e
q81b147b8,d894e01f0
q81b147b8,d8c975b7c
q81a86062,d8cf80d14
q81a86062,d8ac0cb08
q81a86062,d87be6f78
q81a86062,d8db8ad80
q81a86062,d8acffa88
q81a86062,d8a951d8c
q81a86062,d8cb1d7cc
q81a86062,d87bc81d6
q81a86062,d8bb92280
q81a86062,d89fa9442
q852ed734,d810b7770
