query_id,corpus_id
q82d4c6ec,d8e86753a
q82d4c6ec,d8823b360
q82d4c6ec,d81a04fe4
q82d4c6ec,d8d3fbbaa
q82d4c6ec,d8bcdd900
q82d4c6ec,d81a04f9e
q82d4c6ec,d8c9cf758
q82d4c6ec,d8e436060
q82d4c6ec,d88be204e
q82d4c6ec,d822f8178
q855a35a0,d886a1080
q855a35a0,d86a04616
q855a35a0,d8e99e52a
q855a35a0,d8bb92280
q855a35a0,d8b781e02
q855a35a0,d8f3eb546
q855a35a0,d86400cb0
q855a35a0,d85d724d4
q855a35a0,d89c7a082
q855a35a0,d8c8df80c
q85384530,d8c7913ce
q85384530,d88e580da
q85384530,d87920366
q85384530,d8bea8ef6
q85384530,d87b59cb8
q85384530,d86d241ac
q85384530,d8bbd0562
q85384530,d8ba2e3a8
q85384530,d896448e8
q85384530,d8d9d0a08
q842c8af2,d8e727fc6
q842c8af2,d862005a0
q842c8af2,d8c1da4a8
q842c8af2,d8e7afa70
q842c8af2,d8c06c95e
q842c8af2,d8945848a
q842c8af2,d8bef6944
q842c8af2,d87e20550
q842c8af2,d8a0461fc
q842c8af2,d87acf00e
q85451756,d8f55a6f2
q85451756,d8d6f4578
q85451756,d81180850
q85451756,d8de399d2
q85451756,d8646ec7e
q85451756,d881e1fe0
q85451756,d8e95dcfa
q85451756,d87ccfda4
q85451756,d8dc9cc0a
q85451756,d8db71844
q85737826,d8d4f7194
q85737826,d8ee058c0
q85737826,d8a2da2c4
q85737826,d8c9e1e94
q85737826,d8ef908ca
q85737826,d8f01654c
q85737826,d8753470c
q85737826,d864959e6
q85737826,d8ea5b1f2
q85737826,d8871db08
q827742c4,d827745bc
q827742c4,d86bdf8d2
q827742c4,d8866b71e
q827742c4,d8a133498
q827742c4,d82d8f140
q827742c4,d87fed8b0
q827742c4,d895e2bd4
q827742c4,d876af55a
q827742c4,d8f73def6
q827742c4,d85fa1fac
q81e448f2,d8261505e
q81e448f2,d8d19ca9e
q81e448f2,d8159e28e
q81e448f2,d8b7e8062
q81e448f2,d8ca03350
q81e448f2,d88f877f8
q81e448f2,d81b363f4
q81e448f2,d884b7a3a
q81e448f2,d8b1ea1c4
q81e448f2,d8159e2fc
q82305cc4,d815f4936
q82305cc4,d8af691c0
q82305cc4,d86b7c0fc
q82305cc4,d8a27a798
q82305cc4,d8a27a662
q82305cc4,d86617468
q82305cc4,d8402e5a8
q82305cc4,d86e7a89e
q82305cc4,d87adb1ba
q82305cc4,d882b615a
q81a100a6,d81a10218
q81a100a6,d8165917e
q81a100a6,d8f36b990
q81a100a6,d8ed98bf8
q81a100a6,d8a9f85c4
q81a100a6,d8f31013a
q81a100a6,d8805f0d2
q81a100a6,d8b0af322
q81a100a6,d89be0f0e
q81a100a6,d8247dfb6
q847a1ac4,d8b0a1dda
q847a1ac4,d810b78b0
q847a1ac4,d870c57ca
q847a1ac4,d8c07e2bc
q847a1ac4,d8693f41a
q847a1ac4,d8a6b00ec
q847a1ac4,d889e4cf6
q847a1ac4,d810b7770
q847a1ac4,d88f4ed86
q847a1ac4,d890cdc8e
q82bb179c,d87ec1c16
q82bb179c,d82afa5ce
q82bb179c,d8da2d456
q82bb179c,d8af9db64
q82bb179c,d8996d98e
q82bb179c,d8ed02f90
q82bb179c,d86c8b3e4
q82bb179c,d88d0baba
q82bb179c,d87bc81d6
q82bb179c,d8871db08
q82787914,d8be614b6
q82787914,d8e2645b6
q82787914,d87a08bde
q82787914,d881a7aa2
q82787914,d8954de94
q82787914,d8a149b76
q82787914,d8a37d0a0
q82787914,d884b7a3a
q82787914,d81252148
q82787914,d8e73f360
q847c4394,d83b9f406
q847c4394,d8dc9cc0a
q847c4394,d8e675bc8
q847c4394,d87bc81d6
q847c4394,d8d1463e2
q847c4394,d89ff7b38
q847c4394,d8ed02f90
q847c4394,d8b3886c0
q847c4394,d89197fa2
q847c4394,d8871db08
q85306054,d867cd352
q85306054,d8aefb4b8
q85306054,d8be6bd58
q85306054,d8b6dd924
q85306054,d86875c6e
q85306054,d8b5dccbe
q85306054,d8b308e20
q85306054,d89f4dcdc
q85306054,d8e50d826
q85306054,d86389f84
q81b147b8,d89a56f26
q81b147b8,d8dcc9fe8
q81b147b8,d8dfc2998
q81b147b8,d8b0129a0
q81b147b8,d8943f48a
q81b147b8,d8d3191a6
q81b147b8,d8dbf2e8a
q81b147b8,d826da890
q81b147b8,d8b20f73a
q81b147b8,d8bad3ce0
q81a86062,d8cf80d14
q81a86062,d8ea0ef8c
q81a86062,d8ac0cb08
q81a86062,d87be6f78
q81a86062,d8d43dbb8
q81a86062,d87809a7c
q81a86062,d8a223308
q81a86062,d8acffa88
q81a86062,d8ee9989a
q81a86062,d8cb1d7cc
q852ed734,d83392a88
q852ed734,d8c0ad120
q852ed734,d881e1fe0
q852ed734,d8ac4107e
q852ed734,d8955b986
