query_id,corpus_id
q00001,MSFT20230216
q00001,MSFT20230236
q00001,MSFT20230254
q00001,MSFT20230331
q00001,MSFT20230016
q00001,MSFT20231766
q00001,MSFT20230170
q00001,MSFT20231728
q00001,MSFT20230046
q00001,MSFT20230155
q00002,MSFT20230120
q00002,MSFT20230501
q00002,MSFT20230122
q00002,MSFT20231710
q00002,MSFT20230508
q00002,MSFT20230444
q00002,MSFT20230512
q00002,MSFT20230466
q00002,MSFT20231862
q00002,MSFT20231828
q00003,MSFT20230264
q00003,MSFT20231953
q00003,MSFT20230025
q00003,MSFT20230233
q00003,MSFT20230236
q00003,MSFT20230058
q00003,MSFT20230011
q00003,MSFT20230248
q00003,MSFT20231749
q00003,MSFT20230069
q00004,MSFT20230469
q00004,MSFT20230010
q00004,MSFT20230319
q00004,MSFT20230486
q00004,MSFT20230025
q00004,MSFT20230095
q00004,MSFT20230317
q00004,MSFT20230062
q00004,MSFT20230058
q00004,MSFT20230236
q00005,MSFT20230508
q00005,MSFT20231008
q00005,MSFT20230512
q00005,MSFT20230819
q00005,MSFT20230444
q00005,MSFT20231862
q00005,MSFT20231779
q00005,MSFT20231838
q00005,MSFT20230877
q00005,MSFT20231828
q00006,MSFT20231953
q00006,MSFT20230467
q00006,MSFT20230722
q00006,MSFT20230335
q00006,MSFT20231335
q00006,MSFT20230486
q00006,MSFT20230048
q00006,MSFT20230294
q00006,MSFT20231300
q00006,AMZN20230983
q00007,MSFT20230482
q00007,MSFT20231749
q00007,ORCL20231109
q00007,MSFT20231767
q00007,MSFT20230574
q00007,MSFT20231007
q00007,MSFT20231792
q00007,MSFT20230729
q00007,MSFT20230968
q00007,MSFT20231529
q00008,MSFT20231529
q00008,ADBE20231120
q00008,MSFT20230508
q00008,V20231038
q00008,ORCL20231142
q00008,ADBE20231119
q00008,NVDA20231343
q00008,UNH20230812
q00008,MSFT20231797
q00008,MSFT20230980
q00009,ADBE20231907
q00009,ADBE20231704
q00009,ADBE20231321
q00009,ADBE20230986
q00009,ADBE20231609
q00009,ADBE20231011
q00009,ADBE20231131
q00009,ADBE20231062
q00009,ADBE20231046
q00009,ADBE20231356
q00010,ADBE20230726
q00010,ADBE20231566
